date,ticker,foreign_buy,inst_buy
2026-01-05,000020,-51124195,3053210
2026-01-06,000020,-91237430,-9847040
2026-01-07,000020,-187462690,-6359185
2026-01-08,000020,-123019115,1960590
2026-01-09,000020,27060780,-55792895
2026-01-12,000020,11169160,170270
2026-01-13,000020,-55757380,-30644780
2026-01-14,000020,31274420,-24074235
2026-01-15,000020,60023480,18713310
2026-01-16,000020,-4622770,-45200715
2026-01-19,000020,-86751400,-22304060
2026-01-20,000020,156057290,27903850
2026-01-21,000020,-111853130,-21188535
2026-01-22,000020,131935550,-15401325
2026-01-23,000020,119841095,-8738280
2026-01-26,000020,83147840,-16219800
2026-01-27,000020,-35574210,-4296615
2026-01-28,000020,-40294590,553230
2026-01-29,000020,62818220,22736110
2026-01-30,000020,-4167680,-31400715
2026-02-02,000020,-285519360,-23038020
2026-02-03,000020,36360475,18128540
2026-02-04,000020,216614895,3327070
2026-02-05,000020,68812410,-7609540
2026-02-06,000020,-1393145,-69397830
2026-02-09,000020,1511960,-25507760
2026-02-10,000020,90912430,-32315640
2026-01-05,000040,5296093,-23797
2026-01-06,000040,-25231815,-4290
2026-01-07,000040,-5459659,-12296
2026-01-08,000040,-6043885,-411477
2026-01-09,000040,1060884,-4466
2026-01-12,000040,5686391,-1221
2026-01-13,000040,12308423,-6225
2026-01-14,000040,-583992,-6135
2026-01-15,000040,-5808879,3636
2026-01-16,000040,-1918481,22568
2026-01-19,000040,6968752,-355446
2026-01-20,000040,87939,-5382
2026-01-21,000040,-2167929,7200
2026-01-22,000040,-18337323,-8626
2026-01-23,000040,-323861,10896
2026-01-26,000040,-1140618,61763
2026-01-27,000040,1746211,-20654
2026-01-28,000040,10340848,18204
2026-01-29,000040,26164618,19278
2026-01-30,000040,-6823404,11180
2026-02-02,000040,7734928,17472
2026-02-03,000040,9026376,-17548
2026-02-04,000040,555661,0
2026-02-05,000040,-22904805,1290
2026-02-06,000040,-730280,12292
2026-02-09,000040,-1186630,-13392
2026-02-10,000040,6349225,-15762
2026-01-05,000050,-19831665,-1222765
2026-01-06,000050,569307320,15125725
2026-01-07,000050,656510520,-46465300
2026-01-08,000050,143611970,-20965765
2026-01-09,000050,-381272620,-4647830
2026-01-12,000050,-47061305,67360
2026-01-13,000050,108547870,-8178815
2026-01-14,000050,-313067360,163160
2026-01-15,000050,31437490,-1939945
2026-01-16,000050,316477140,180120
2026-01-19,000050,137379070,-173880
2026-01-20,000050,38808005,-3346200
2026-01-21,000050,12412250,-2389030
2026-01-22,000050,51848065,-1239265
2026-01-23,000050,163815230,-317090
2026-01-26,000050,125832850,480880
2026-01-27,000050,-178687040,-35317820
2026-01-28,000050,38602675,353600
2026-01-29,000050,178375585,-1407470
2026-01-30,000050,164403255,43715040
2026-02-02,000050,-1277520915,58744145
2026-02-03,000050,2258894850,-1466720
2026-02-04,000050,-2335692865,-10601185
2026-02-05,000050,70039240,120277820
2026-02-06,000050,-378518220,122904255
2026-02-09,000050,651894695,-2359865
2026-02-10,000050,615773145,-28272640
2026-01-05,000070,165887500,-15287800
2026-01-06,000070,66119450,4311800
2026-01-07,000070,-335749100,-9609100
2026-01-08,000070,-163408850,-212619400
2026-01-09,000070,66080600,-32120850
2026-01-12,000070,39575600,-93415750
2026-01-13,000070,84709000,55087150
2026-01-14,000070,694806650,121369850
2026-01-15,000070,32018850,22223500
2026-01-16,000070,478287300,-153928000
2026-01-19,000070,-246995350,10152900
2026-01-20,000070,348732000,43798900
2026-01-21,000070,-578700800,120407900
2026-01-22,000070,131000100,100512200
2026-01-23,000070,143697400,-1700900
2026-01-26,000070,50242100,27133750
2026-01-27,000070,312161750,-163127100
2026-01-28,000070,57161750,-85914350
2026-01-29,000070,146217700,-83246500
2026-01-30,000070,-25920800,125012000
2026-02-02,000070,-442638400,75944300
2026-02-03,000070,54656050,-67460100
2026-02-04,000070,632892500,-238716500
2026-02-05,000070,314022650,-51584900
2026-02-06,000070,-157091650,-91315600
2026-02-09,000070,427433900,-159491400
2026-02-10,000070,726283300,-34319900
2026-01-05,000080,-625304155,-568632350
2026-01-06,000080,-674130220,-442431325
2026-01-07,000080,-806469380,-944980605
2026-01-08,000080,-446250545,-695422225
2026-01-09,000080,-480663105,-319341800
2026-01-12,000080,-872206495,-381469660
2026-01-13,000080,76167185,248180995
2026-01-14,000080,274206640,-520826695
2026-01-15,000080,-850477280,-103389410
2026-01-16,000080,81109625,14464765
2026-01-19,000080,-154613350,-156128680
2026-01-20,000080,885288715,58085105
2026-01-21,000080,-642594760,-106570865
2026-01-22,000080,1914867125,341481060
2026-01-23,000080,406292180,38471185
2026-01-26,000080,297242475,-1265327025
2026-01-27,000080,664742025,-162461050
2026-01-28,000080,-551314670,-1379046935
2026-01-29,000080,-3126962120,-777874560
